Customer_ID,Customer_Name,Phone,Email,Age,Annual_Income,Purchase_Amount,Purchase_Amount_Scaled,Income_Bin,Annual_Income_Smoothed,Age_Group,Gender,City,Payment_Method,Customer_Status,Customer_Segment,Customer_Segment_Encoded,Registration_Date,Payment_Card,Payment_Cash,Payment_Digital Wallet,Payment_Mobile Banking
C0056,Kiran Adhikari,9890585882,kiran.adhikari16@example.com,30,88661.0,5544.11,0.09564427419836899,"(86883.8, 117543.2]",100736.40909090909,19-30,Other,Kathmandu,Mobile Banking,Pending,Regular,1,2025-04-27,False,False,False,True
C0041,Nabin Tamang,9898429450,nabin.tamang11@example.com,46,,25803.11,0.508952981875743,,,46-60,Female,Bhaktapur,Card,Inactive,New,0,2025-10-15,True,False,False,False
C0020,Kiran Tamang,9834627347,kiran.tamang36@example.com,33,,22706.37,0.4457756479790634,,,31-45,Male,Pokhara,Digital Wallet,Inactive,Regular,1,2023-01-25,False,False,True,False
C0032,Sita Tamang,9815354599,sita.tamang46@example.com,53,58409.0,2570.53,0.03497955693812488,"(56224.4, 86883.8]",70926.125,46-60,Other,Pokhara,Mobile Banking,Active,New,0,2024-05-30,False,False,False,True
C0116,Hari Kc,9841-234567,hari.kc73@example.com,42,114363.0,8291.76,0.15169973945577248,"(86883.8, 117543.2]",100736.40909090909,31-45,Male,Bhaktapur,Mobile Banking,Pending,Regular,1,2023-05-13,False,False,False,True
C0070,Bikash Rai,9810359129,bikash.rai53@example.com,23,70564.0,27823.62,0.5501738899634675,"(56224.4, 86883.8]",70926.125,19-30,Other,Pokhara,Card,Inactive,New,0,2023-07-05,True,False,False,False
C0106,Hari Karki,9892558242,hari.karki6@example.com,41,53587.0,22874.27,0.4492010160633238,"(25411.703, 56224.4]",43174.0,31-45,Female,Chitwan,Card,Pending,New,0,2025-04-30,True,False,False,False
C0082,Sneha Rai,9829944139,sneha.rai58@example.com,36,178862.0,29206.21,0.578380439454936,"(148202.6, 178862.0]",162398.29411764705,31-45,,Butwal,Digital Wallet,Pending,Premium,2,2023-04-09,False,False,True,False
C0027,Hari Sharma,9827778019,hari.sharma45@example.com,57,44204.0,27112.9,0.5356743211436609,"(25411.703, 56224.4]",43174.0,46-60,Female,Chitwan,Mobile Banking,Active,Regular,1,2022-07-24,False,False,False,True
C0096,Prakash Karki,9828892086,prakash.karki97@example.com,65,55191.0,23682.4,0.4656878696067029,"(25411.703, 56224.4]",43174.0,60+,Female,Biratnagar,Cash,Active,New,0,2023-11-25,False,True,False,False
