Customer_ID,Customer_Name,Age,Gender,City,Registration_Date,Annual_Income,Purchase_Amount,Payment_Method,Phone,Email,Customer_Status,Customer_Segment
C0056,Kiran Adhikari,30,Other,Kathmandu,4/27/2025,"88,661",5544.11,Mobile Banking,9890585882,kiran.adhikari16@example.com,Pending,Regular
C0041,Nabin Tamang,46,Female,Bhaktapur,10/15/2025,,25803.11,Card,9898429450,nabin.tamang11@example.com,Inactive,New
C0020,Kiran Tamang,33,Male, Pokhara ,1/25/2023,,22706.37,Digital Wallet,9834627347,kiran.tamang36@example.com,Inactive,Regular
C0032,Sita Tamang,53,Other,Pokhara,5/30/2024,"58,409",2570.53,Mobile Banking,9815354599,sita.tamang46@example.com,Active,New
C0116,Hari KC,42,Male,BHAKTAPUR,2023-13-05,"114,363",8291.76,Mobile Banking,9841-234567,hari.kc73@example.com,Pending,Regular
C0057,Sabina KC,-5,Female,Lalitpur,5/22/2022,,,Cash,9866379329,sabina.kc63@example.com,Active,Premium
C0070,Bikash Rai,23,Other,Pokhara,5/7/2023,"70,564",27823.62,Card,9810359129,bikash.rai53@example.com,Inactive,New
C0106,Hari Karki,41,Female,Chitwan,4/30/2025,"53,587",22874.27,Card,9892558242,hari.karki6@example.com,Pending,New
C0082,Sneha Rai,36,,Butwal,9/4/2023,"178,862",29206.21,Digital Wallet,9829944139,sneha.rai58@example.com,Pending,Premium
C0027,Hari Sharma,57,Female,Chitwan,7/24/2022,"44,204",27112.9,Mobile Banking,9827778019,hari.sharma45@example.com,Active,Regular
C0096,Prakash Karki,65,Female,Biratnagar,11/25/2023,"55,191",23682.4,Cash,9828892086,prakash.karki97@example.com,Active,New
C0028,Sabina Rai,46,Male,Biratnagar,1/17/2025,"104,303",30778.05,Cash,9899639081,sabina.rai71@example.com,Inactive,New
C0065,Nabin Rai,30,Woman,lalitpur,4/11/2023,"119,602",9382.36,Cash,9881690398,invalid.email.com,Inactive,Regular
C0005,Nabin Tamang,30,Woman,Butwal,5/23/2022,"37,012",33232.53,Mobile Banking,9820709497,nabin.tamang30@example.com,Active,Premium
C0098,Prakash Poudel,58,Female,Lalitpur,8/10/2022,"86,295",23838.1,Mobile Banking,9841-234567,prakash.poudel29@example.com,Pending,Regular
C0101,Nabin Adhikari,20,Female,Butwal,1/29/2024,"81,955",22447.46,Card,9858678896,nabin.adhikari13@example.com,Pending,Premium
C0037,Prakash Sharma,56,Woman,Bhaktapur,12/9/2023,"107,228",2500000,CARD,-9812344701,prakash.sharma74@example.com,Active,Premium
C0081,Manish Karki,47,Male,,10/24/2022,"125,554",,Card,9819369750,manish.karki36@example.com,Inactive,Premium
C0094,Bikash Poudel,61,Female,Biratnagar,9/12/2025,"60,855",31598.28,Cash,9851464269,bikash.poudel57@example.com,Active,New
C0085,Asha Tamang,46,Male,Kathmandu,12/13/2024,"144,780",1259.71,Card,9865026398,asha.tamang84@example.com,inactive,Regular
C0019,Gita Thapa,45,Other,Lalitpur,5/17/2024,"132,767",23617.72,Cash,9897705310,gita.thapa83@example.com,Active,Regular
C0011,Kiran Poudel,51,Female,Lalitpur,2/7/2025,"28,009",34174.03,Cash,98 41234567,kiran.poudel97@example.com,Inactive,New
C0123,Nisha Adhikari,43,Other,Chitwan,6/11/2022,"128,747",43590.96,Mobile Banking,9839738898,nisha.adhikari43@example.com,Active,Regular
C0012,Suman Thapa,45,Female,Pokhara,18/07/2024,"25,850",47713.89,Mobile Banking,9877187530,suman.thapa98@example.com,Active,New
C0013,Gita Rai,50,Other,Chitwan,2/12/2023,"65,065",19008.74,Card,9882394227,gita.rai68@example.com,Active,New
C0046,Prakash Shrestha,35,m,Biratnagar,12/3/2024,"152,034",31524.05,Mobile Banking,9869038700,prakash.shrestha10@example.com,Pending,Premium
C0071,Nabin Karki,20,Female,Pokhara,8/14/2023,"99,112",750000,Digital Wallet,9819553585,nabin.karki88@example.com,Active,Premium
C0079,Riya Karki,49,Other,Kathmandu,3/1/2022,"87,730",35634.25,Mobile banking,9883932360,riya.karki2@example.com,Pending,Premium
C0048,Roshan Adhikari,52,M,Bhaktapur,5/1/2024,"41,322",10738.3,CASH,9862274692,sita@,Pending,New
C0001,Gita Sharma,35,Other,Pokhara,4/3/2023,"61,579",36955.33,Cash,9889254563,gita.sharma55@example.com,Active,Regular
C0013,Gita Rai,50,Other,Chitwan,2/12/2023,"65,065",19008.74,Card,9882394227,gita.rai68@example.com,Active,New
C0043,  Nabin Thapa ,44,Female,Butwal,3/24/2025,"75,970",36058.12,Digital Wallet,9876354180,nabin.thapa52@example.com,Active,Regular
C0052,Puja Gurung,34,Male,Bhaktapur,11/2/2023,"80,485",23007.62,Mobile Banking,9860885459,puja.gurung36@example.com,Inactive,Premium
C0025,Kiran Thapa,33,Other,Chitwan,5/2/2025,"35,418",31159.38,Digital Wallet,9898231132,kiran.thapa75@example.com,Pending,New
C0068,Sita Gurung,54,Male,Lalitpur,6/24/2022,"90,061",6363.35,Digital Wallet,9891378577,sita.gurung77@example.com,Pending,Regular
C0114,Nisha Adhikari,57,Other,Chitwan,10/14/2025,"170,945",1799.56,Mobile Banking,9813886030,nisha.adhikari24@example.com,Inactive,New
C0090,nisha karki,27,Other,Pokhara,8/2/2024,"91,578",23248.74,Cash,9872445234,nisha.karki37@example.com,INACTIVE,New
C0016,Bikash Rai,60,Female,Butwal,2/4/2024,"139,845",45030.9,Digital Wallet,9826240908,bikash.rai32@example.com,Active,Regular
C0078,Puja Adhikari,30,Male,Chitwan,1/11/2024,850000,31457.73,Cash,9837321124,puja.adhikari35@example.com,Pending,Regular
C0023,Dipesh Karki,30,Male,Lalitpur,3/22/2023,"40,331",29169.42,Cash,9852091325,dipesh.karki8@example.com,Active,New
C0045,Sneha KC,38,Other,Biratnagar,6/25/2024,"157,324",21623.67,Digital Wallet,9831361812,sneha.kc96@example.com,INACTIVE,Premium
C0066,Sita KC,62,Female,Pokhara,7/30/2025,"153,680",5578.09,Cash,98 41234567,sita.kc37@example.com,Inactive,Premium
C0097,Kiran KC,23,Female,Biratnagar,3/19/2024,"28,648",13590.7,Cash,9871040347,kiran.kc48@example.com,Pending,New
C0031,Prakash Gurung,46,Other,Chitwan,12/16/2025,"Rs. 75,000",28264.89,Cash,9820099059,ram@gmail,Active,New
C0063,Manish KC,40,Other,Bhaktapur,2/1/2025,"111,714",17914.62,Digital Wallet,9846361787,manish.kc40@example.com,Inactive,Regular
C0041,Nabin Tamang,46,Female,Bhaktapur,10/15/2025,,25803.11,Card,9898429450,nabin.tamang11@example.com,Inactive,New
C0010,Aarav KC,23,Woman,Biratnagar,4/7/2022,"53,743",8065.65,Card,9866661351,aarav.kc77@example.com,Active,Premium
C0034,Anisha Tamang,60,Female,Biratnagar,5/24/2023,"94,941",8380.29,Cash,9861343880,anisha.tamang5@example.com,Inactive,Regular
C0067,Puja Tamang,21,Male,Lalitpur,9/5/2024,"54,907",41194.72,cash,9876001106,puja.tamang10@example.com,Pending,New
C0026,Suman Rai,60,Male,Butwal,10/6/2023,"87,570",13647.92,Card,9896637649,suman.rai39@example.com,Inactive,Premium
C0119,Nisha Adhikari,,Other,Kathmandu,2/23/2023,"104,015",47293.54,Card,9844295247,nisha.adhikari38@example.com,Inactive,Regular
C0029,Gita Gurung,25,Female,Kathmandu,2/7/2025,"65,749",13981.24,Card,9856020613,gita.gurung27@example.com,Pending,New
C0099,Puja Rai,44,Other,Kathmandu,10/14/2022,"36,887","Rs. 12,500",Mobile Banking,9876118957,puja.rai15@example.com,Active,Regular
